GeneId,Chr,Start,End,Strand,Length,Cp1,Cp2,Cp3,Cm1,Cm2,Cm3,WT1,WT2,WT3,dL1,dL3
yflJ_RBAM_007860,NC_009725.1,777528,777662,-,135,392,273,320,316,422,827,652,944,551,113,666
yflI_RBAM_007870,NC_009725.1,777841,777996,-,156,82,29,110,41,48,177,42,141,55,12,60
yflH_RBAM_007880,NC_009725.1,778079,778390,-,312,1703,1395,955,1899,2083,2239,2945,2622,2695,645,3399
yflG_RBAM_007890,NC_009725.1,778447,779196,-,750,860,837,1181,883,1021,1235,742,1338,946,413,1073
nagP_RBAM_007900,NC_009725.1,779361,780743,+,1383,58,152,62,79,97,86,414,422,101,50,108
yfmQ_RBAM_007910,NC_009725.1,780870,781313,+,444,2213,2791,3422,943,1418,4589,1801,5016,2091,509,2149
yflE_RBAM_007920,NC_009725.1,781354,783291,-,1938,5038,7052,8140,7929,9707,12174,11905,12856,14166,3293,14351
yflB_RBAM_007930,NC_009725.1,783537,783914,+,378,131,120,129,54,83,123,101,281,72,19,97
cotP_RBAM_007940,NC_009725.1,783924,784355,-,432,27,49,31,43,63,129,46,163,45,26,84
ydgA_RBAM_007950,NC_009725.1,784371,784613,-,243,5,4,5,2,4,6,1,7,5,5,7
ydgB_RBAM_007960,NC_009725.1,784628,784888,-,261,6,4,1,2,7,5,4,11,4,5,6
treP_RBAM_007970,NC_009725.1,785159,786574,+,1416,49,54,24,48,66,45,114,116,46,20,41
treA_RBAM_007980,NC_009725.1,786650,788335,+,1686,57,59,51,79,91,83,122,131,94,77,83
treR_RBAM_007990,NC_009725.1,788357,789073,+,717,200,307,249,127,219,374,259,503,237,44,270
yfkO_RBAM_008000,NC_009725.1,789206,789871,+,666,213,297,365,173,252,628,357,631,340,60,428
RBAM_008010,NC_009725.1,789907,790668,-,762,66,81,118,86,86,107,88,132,85,38,97
RBAM_008020,NC_009725.1,790665,791804,-,1140,49,125,177,104,113,165,143,233,121,93,156
yfkN_RBAM_008030,NC_009725.1,792014,796306,-,4293,886,801,725,1340,1411,1181,1693,1525,1379,740,1599
yfkM_RBAM_008040,NC_009725.1,796527,797042,+,516,1556,2585,386,1419,1894,1269,2856,1474,2253,1270,2827
RBAM_008050,NC_009725.1,797063,798094,-,1032,243,577,337,318,390,647,822,874,423,153,506
RBAM_008060,NC_009725.1,798231,798935,-,705,6,16,9,17,17,10,33,24,25,8,30
RBAM_008070,NC_009725.1,799047,799958,-,912,53,170,76,93,123,65,170,125,120,115,134
aroD_RBAM_008080,NC_009725.1,799997,800758,-,762,60,76,97,71,112,72,99,122,69,121,95
yfkL_RBAM_008090,NC_009725.1,800785,801978,-,1194,10,19,23,13,24,23,15,34,12,5,10
yfkK_RBAM_008100,NC_009725.1,802315,802530,-,216,157,104,148,128,179,463,221,643,234,56,344
yfkJ_RBAM_008110,NC_009725.1,802686,803159,+,474,163,573,50,166,290,130,480,304,267,124,341
yfkI_RBAM_008120,NC_009725.1,803173,803499,+,327,238,517,67,254,298,142,502,205,275,122,413
yfkH_RBAM_008130,NC_009725.1,803511,804350,+,840,265,371,80,172,184,129,458,232,247,145,302
yfkF_RBAM_008140,NC_009725.1,804536,805714,-,1179,54,108,69,49,74,164,186,291,70,11,81
yfkE_RBAM_008150,NC_009725.1,805873,806928,+,1056,20,32,7,21,27,14,44,28,26,10,30
yfkD_RBAM_008160,NC_009725.1,807002,807793,+,792,66,50,26,53,63,61,67,47,59,19,67
yfkC_RBAM_008170,NC_009725.1,807822,808655,-,834,215,302,401,221,262,378,283,374,284,129,283
yfkA_RBAM_008180,NC_009725.1,808662,809783,-,1122,339,423,442,327,391,453,322,471,360,231,427
yfjT_RBAM_008190,NC_009725.1,809930,810115,+,186,8,5,2,2,0,6,8,63,7,0,11
pdaA_RBAM_008200,NC_009725.1,810216,811007,+,792,4,10,6,8,3,8,6,9,3,1,5
yfjR_RBAM_008210,NC_009725.1,811042,811902,-,861,114,137,128,164,178,216,243,244,191,93,221
RBAM_008220,NC_009725.1,811951,812598,-,648,5,6,7,6,7,15,5,32,11,0,7
yfjQ_RBAM_008230,NC_009725.1,812662,813621,-,960,57,71,108,39,62,159,52,203,53,8,65
yfjP_RBAM_008240,NC_009725.1,813728,814591,+,864,93,184,141,178,202,226,245,216,184,110,239
yfjO_RBAM_008250,NC_009725.1,814725,816125,+,1401,465,761,598,483,618,806,940,1189,967,240,968
RBAM_008260,NC_009725.1,816122,816343,-,222,65,53,107,43,50,276,54,242,60,24,94
RBAM_008270,NC_009725.1,816905,817204,+,300,140,133,137,91,99,207,147,264,99,30,187
yfjN_RBAM_008280,NC_009725.1,818093,819076,+,984,141,166,369,237,292,363,314,420,255,125,346
yfjM_RBAM_008290,NC_009725.1,819234,819734,+,501,128,257,226,130,185,285,261,448,178,134,233
acoA_RBAM_008300,NC_009725.1,819990,820991,+,1002,0,2,0,196,251,147,349,355,158,121,194
acoB_RBAM_008310,NC_009725.1,820993,822021,+,1029,4,2,2,217,283,232,559,436,233,163,322
acoC_RBAM_008320,NC_009725.1,822036,823229,+,1194,4,8,1,310,372,291,575,514,240,274,312
acoL_RBAM_008330,NC_009725.1,823244,824623,+,1380,5,15,6,569,763,690,1219,1116,546,561,738
acoR_RBAM_008340,NC_009725.1,824730,826538,+,1809,225,278,253,720,710,851,1323,1527,787,273,911
sspH_RBAM_008350,NC_009725.1,826604,826786,+,183,154,188,169,423,438,705,833,752,577,130,747
glvA_RBAM_008360,NC_009725.1,826957,828306,+,1350,77,148,82,242,236,161,717,437,367,215,428
glvR_RBAM_008370,NC_009725.1,828375,829136,+,762,29,64,37,31,29,83,95,179,52,39,54
glvC_RBAM_008380,NC_009725.1,829153,830739,+,1587,39,53,25,54,69,48,198,215,94,56,85
RBAM_008390,NC_009725.1,830927,833254,+,2328,100,73,57,13,20,32,24,57,36,7,25
yfiB_RBAM_008400,NC_009725.1,833550,835283,+,1734,61,98,69,70,76,102,190,204,95,40,95
yfiC_RBAM_008410,NC_009725.1,835264,837081,+,1818,138,165,127,133,152,168,228,245,171,90,153
yfiD_RBAM_008420,NC_009725.1,837249,837653,+,405,20,29,18,53,65,76,70,165,43,40,69
yfiE_RBAM_008430,NC_009725.1,837670,838527,+,858,27,34,24,62,73,84,139,188,63,27,76
ctaO_RBAM_008440,NC_009725.1,838893,839840,+,948,113,225,138,98,125,215,190,438,88,48,139
padR_RBAM_008450,NC_009725.1,839878,840429,-,552,120,205,163,88,112,269,117,309,137,53,154
RBAM_008460,NC_009725.1,840662,841264,+,603,33,40,32,17,25,35,41,101,24,8,32
yfiQ_RBAM_008470,NC_009725.1,841255,842343,+,1089,107,182,103,123,178,244,331,318,185,29,263
RBAM_008480,NC_009725.1,842665,845076,+,2412,195,295,198,178,221,197,446,513,239,181,213
RBAM_008490,NC_009725.1,845099,845371,+,273,201,196,230,164,198,186,213,327,151,121,140
yfiT_RBAM_008500,NC_009725.1,845397,845939,+,543,132,154,141,131,171,150,198,325,116,37,120
yfiU_RBAM_008510,NC_009725.1,845899,847491,-,1593,1,6,3,6,7,3,16,18,5,0,7
yfiV_RBAM_008520,NC_009725.1,847600,848082,-,483,31,45,54,25,37,75,62,114,44,10,49
yfiX_RBAM_008530,NC_009725.1,848251,850821,+,2571,104,201,98,100,139,156,300,359,133,38,153
yfhB_RBAM_008540,NC_009725.1,850916,851800,+,885,129,219,159,233,279,231,380,446,293,238,383
yfhC_RBAM_008550,NC_009725.1,851877,852461,+,585,387,512,414,663,829,1114,954,1326,785,459,1082
yfhD_RBAM_008560,NC_009725.1,852502,852693,-,192,174,155,32,68,70,35,95,40,59,75,99
yfhE_RBAM_008570,NC_009725.1,852764,852874,-,111,386,522,79,171,174,82,223,110,164,173,222
yfhF_RBAM_008580,NC_009725.1,852932,853831,-,900,488,1184,108,460,579,207,607,281,517,297,717
recX_RBAM_008590,NC_009725.1,853923,854714,+,792,1294,1678,1690,1083,1525,1176,1204,1494,1599,976,1435
yfhH_RBAM_008600,NC_009725.1,854721,855035,+,315,691,688,679,644,882,714,676,777,812,553,768
yfhI_RBAM_008610,NC_009725.1,855173,856372,+,1200,8,14,3,2,11,20,45,37,10,2,16
ybfJ_RBAM_008620,NC_009725.1,856412,856801,-,390,191,313,375,171,276,577,458,880,357,147,474
mpr_RBAM_008630,NC_009725.1,856764,857675,-,912,341,326,543,381,472,991,563,1573,492,300,715
sspK_RBAM_008640,NC_009725.1,857822,857974,-,153,9,8,9,10,8,18,26,48,21,28,30
yfhJ_RBAM_008650,NC_009725.1,858098,858367,+,270,111,91,153,128,155,230,154,258,137,61,157
yfhK_RBAM_008660,NC_009725.1,858500,859027,+,528,848,1101,141,857,1234,560,1900,1254,1160,499,1678
yfhL_RBAM_008670,NC_009725.1,859113,859448,+,336,173,356,80,251,291,260,514,415,252,283,322
yfhM_RBAM_008680,NC_009725.1,859441,860301,+,861,254,363,105,281,315,338,585,485,327,204,420
csbB_RBAM_008690,NC_009725.1,860512,861492,+,981,694,963,381,661,915,994,1543,1408,1061,288,1442
fhO_RBAM_008700,NC_009725.1,861529,864114,+,2586,722,570,423,504,518,680,908,929,646,121,661
yfhP_RBAM_008710,NC_009725.1,864111,865094,-,984,413,1036,441,630,815,1118,1072,1149,796,119,984
yfhQ_RBAM_008720,NC_009725.1,865320,866417,+,1098,115,136,124,98,150,176,153,319,122,71,145
yfhS_RBAM_008730,NC_009725.1,866424,866648,-,225,3,2,0,3,0,4,2,5,2,1,1
fabL_RBAM_008740,NC_009725.1,866730,867482,+,753,808,1397,1441,1210,1350,1795,1977,1863,1959,468,1973
sspE_RBAM_008750,NC_009725.1,867548,867718,+,171,412,524,591,634,704,961,1527,1247,1281,267,1388
ygaB_RBAM_008760,NC_009725.1,867879,868145,+,267,656,704,690,625,889,1442,1225,1559,1214,411,1377
ygaC_RBAM_008770,NC_009725.1,868281,868811,+,531,191,154,189,147,207,379,321,586,254,80,310
ygaD_RBAM_008780,NC_009725.1,868894,870636,+,1743,77,95,93,97,93,162,148,250,118,22,179
ygaE_RBAM_008790,NC_009725.1,870716,871780,-,1065,981,1611,2138,1706,2043,3515,2691,3646,2680,1411,3206
gsaB_RBAM_008800,NC_009725.1,871990,873279,-,1290,210,351,305,492,542,624,861,784,591,275,695
ygaF_RBAM_008810,NC_009725.1,873437,873910,+,474,79,170,307,154,207,333,212,497,188,129,247
perR_RBAM_008820,NC_009725.1,874035,874472,+,438,833,767,1197,531,751,2084,1520,3217,1148,225,1371
ygzB_RBAM_008830,NC_009725.1,874507,874860,-,354,618,991,697,520,645,830,964,1156,534,470,724
ygxA_RBAM_008840,NC_009725.1,875063,875947,+,885,1357,1362,1535,991,1244,1955,1351,2214,1511,307,1697
RBAM_009040,NC_009725.1,882892,884463,+,1572,2,5,6,1,0,3,3,11,3,0,2
ygaJ_RBAM_009050,NC_009725.1,884549,885247,+,699,11,18,10,19,22,19,87,111,18,14,12
thiC_RBAM_009060,NC_009725.1,885529,887301,+,1773,19,54,18,22,35,42,130,132,55,32,99
ygaK_RBAM_009070,NC_009725.1,887342,888709,-,1368,2,4,11,5,11,9,10,11,5,3,6
senN_RBAM_009080,NC_009725.1,888957,889136,+,180,0,0,0,0,0,0,0,1,0,0,0
katA_RBAM_009090,NC_009725.1,889388,890833,-,1446,718,1015,860,1781,1903,1628,2127,2064,1914,1252,2379
RBAM_009100,NC_009725.1,891090,892025,+,936,4,4,6,5,6,5,3,17,2,2,3
ssuB_RBAM_009110,NC_009725.1,892206,893015,+,810,0,3,0,0,0,0,1,0,0,0,0
ssuA_RBAM_009120,NC_009725.1,893031,894020,+,990,0,1,0,0,0,0,1,2,0,0,0
ssuC_RBAM_009130,NC_009725.1,894020,894853,+,834,0,2,0,0,0,0,3,0,0,1,0
ssuD_RBAM_009140,NC_009725.1,894878,896014,+,1137,6,19,5,10,16,13,23,29,10,6,18
rpsN_RBAM_009150,NC_009725.1,896189,896458,+,270,1,0,2,2,0,2,4,6,0,1,0
ygaO_RBAM_009160,NC_009725.1,896479,896946,-,468,114,237,228,102,186,536,306,515,277,48,317
yhzB_RBAM_009180,NC_009725.1,897500,898123,-,624,41,42,61,154,117,173,170,182,108,43,185
yhbA_RBAM_009190,NC_009725.1,898199,899368,+,1170,68,100,80,68,94,113,110,148,99,41,120
yhbB_RBAM_009200,NC_009725.1,899444,900355,+,912,14,28,20,16,23,27,27,57,20,12,42
cspR_RBAM_009210,NC_009725.1,900401,900874,+,474,728,523,1073,599,687,1567,814,1809,735,133,959
yhbD_RBAM_009220,NC_009725.1,900972,901643,+,672,10,8,17,2,7,14,18,36,14,4,18
yhbE_RBAM_009230,NC_009725.1,901634,902347,+,714,11,22,21,7,15,31,47,40,15,7,19
yhbF_RBAM_009240,NC_009725.1,902359,903069,+,711,18,32,28,38,36,60,92,110,28,13,41
prkA_RBAM_009250,NC_009725.1,903428,905323,+,1896,80,120,109,172,299,187,115,144,205,215,169
yhbH_RBAM_009260,NC_009725.1,905514,906698,+,1185,5,12,3,22,27,22,24,19,22,8,14
yhbI_RBAM_009270,NC_009725.1,906879,907343,+,465,48,110,81,38,95,62,55,54,108,69,166
yhbJ_RBAM_009280,NC_009725.1,907380,908045,+,666,125,167,99,153,262,97,157,95,228,169,360
yhcA_RBAM_009290,NC_009725.1,908086,909681,+,1596,36,74,38,26,30,34,61,30,36,15,39
yhcB_RBAM_009300,NC_009725.1,909706,910239,+,534,267,376,302,270,281,257,247,221,233,83,224
yhcC_RBAM_009310,NC_009725.1,910252,910623,+,372,308,336,315,305,335,320,389,292,304,100,304
yhcE_RBAM_009320,NC_009725.1,910743,911510,+,768,20,26,22,11,18,22,28,30,10,12,19
yhcF_RBAM_009330,NC_009725.1,911513,911890,+,378,19,35,26,15,16,19,31,35,16,26,22
yhcG_RBAM_009340,NC_009725.1,911862,912596,+,735,18,17,24,22,19,27,29,38,25,20,24
yhcH_RBAM_009350,NC_009725.1,912597,913514,+,918,19,14,25,23,24,21,24,32,13,6,19
yhcI_RBAM_009360,NC_009725.1,913507,914454,+,948,71,149,55,122,114,98,215,153,133,36,165
cspB_RBAM_009370,NC_009725.1,914546,914746,-,201,3992,3741,2566,1582,2595,6147,4806,7857,5425,534,5817
yhcJ_RBAM_009380,NC_009725.1,915128,915958,+,831,4,4,6,5,6,11,13,34,8,3,10
yhcK_RBAM_009390,NC_009725.1,915975,917054,-,1080,49,53,72,66,60,99,93,169,65,22,93
yhcL_RBAM_009400,NC_009725.1,917206,918597,+,1392,18,28,19,13,16,15,41,57,20,7,19
yhcM_RBAM_009410,NC_009725.1,918698,919276,-,579,38,75,18,70,63,52,108,55,66,79,106
yhcN_RBAM_009420,NC_009725.1,919421,919960,+,540,8,8,5,14,22,22,24,10,13,16,17
yhcP_RBAM_009430,NC_009725.1,920093,920983,+,891,0,0,1,1,0,0,1,1,1,1,0
yhcQ_RBAM_009440,NC_009725.1,920984,921652,-,669,25,11,15,6,12,16,7,19,15,4,13
yhcR_RBAM_009450,NC_009725.1,921845,923674,+,1830,146,122,145,232,234,205,366,374,277,114,246
yhcS_RBAM_009460,NC_009725.1,923895,924491,+,597,126,190,141,225,207,211,312,370,194,189,257
yhcT_RBAM_009470,NC_009725.1,924488,925396,-,909,169,266,233,249,272,367,456,499,298,97,316
yhcU_RBAM_009480,NC_009725.1,925506,925901,+,396,44,50,56,48,47,111,68,133,64,13,53
yhcV_RBAM_009490,NC_009725.1,926032,926454,+,423,14,21,31,21,26,47,37,45,24,29,46
yhcW_RBAM_009500,NC_009725.1,926582,927271,+,690,54,87,79,65,91,87,101,161,89,73,75
yhcX_RBAM_009510,NC_009725.1,927264,928802,+,1539,145,288,246,207,254,267,435,489,290,127,292
yhxA_RBAM_009520,NC_009725.1,929055,930398,+,1344,355,732,421,519,633,635,1168,1454,717,263,682
glpP_RBAM_009530,NC_009725.1,930415,930990,+,576,505,772,606,654,775,838,1180,1147,923,315,1078
glpF_RBAM_009540,NC_009725.1,931160,931990,+,831,144,154,109,141,147,154,303,334,142,123,139
glpK_RBAM_009550,NC_009725.1,932007,933497,+,1491,2312,3176,2234,2184,2461,2608,3675,2972,2523,1957,2643
glpD_RBAM_009560,NC_009725.1,933635,935302,+,1668,3277,3759,2562,2504,2795,2956,3845,3888,3339,1443,3446
yhxB_RBAM_009570,NC_009725.1,935442,937184,+,1743,1211,2180,1838,1969,2500,2508,3125,3036,2846,1380,3030
yhcY_RBAM_009580,NC_009725.1,937330,938472,+,1143,89,290,144,67,119,161,176,295,149,54,131
yhcZ_RBAM_009590,NC_009725.1,938472,939116,+,645,101,255,140,126,184,193,235,272,169,94,195
yhdA_RBAM_009600,NC_009725.1,939113,939640,+,528,118,274,247,163,209,217,297,357,172,240,221
yhdB_RBAM_009610,NC_009725.1,939654,939896,-,243,10,9,5,3,3,22,15,11,11,2,16
yhdC_RBAM_009620,NC_009725.1,940088,940411,+,324,0,2,1,1,1,2,1,0,1,0,0
lytF_RBAM_009630,NC_009725.1,940456,941910,-,1455,1556,1215,1053,846,1022,921,1158,1405,1154,357,1246
yhdE_RBAM_009640,NC_009725.1,942089,942523,-,435,864,609,833,694,927,1936,1169,2648,1054,257,1381
ygxB_RBAM_009650,NC_009725.1,942656,944218,-,1563,24,42,6,86,114,45,118,28,74,32,127
spoVR_RBAM_009660,NC_009725.1,944340,945746,+,1407,7,10,12,8,4,6,17,27,15,5,8
phoA_RBAM_009670,NC_009725.1,945785,947164,-,1380,79,61,73,114,127,133,169,186,131,70,252
lytE_RBAM_009680,NC_009725.1,947624,948448,+,825,322,362,485,247,311,477,429,713,359,215,357
citR_RBAM_009690,NC_009725.1,948517,949392,-,876,52,47,69,29,33,91,41,91,33,24,57
citA_RBAM_009700,NC_009725.1,949496,950605,+,1110,18,26,13,19,25,19,43,44,18,17,26
yhdF_RBAM_009710,NC_009725.1,950685,951554,+,870,87,223,43,111,139,121,259,161,156,121,228
yhdG_RBAM_009720,NC_009725.1,951888,953291,+,1404,8,6,1,1,5,2,5,6,3,2,7
yhdH_RBAM_009730,NC_009725.1,953406,954761,+,1356,50,181,67,55,91,138,168,164,68,19,78
yhdK_RBAM_009740,NC_009725.1,954798,955088,-,291,77,111,73,60,78,94,120,160,97,26,91
yhdL_RBAM_009750,NC_009725.1,955076,956149,-,1074,399,566,403,313,359,527,544,781,547,163,550
sigM_RBAM_009760,NC_009725.1,956142,956633,-,492,143,78,70,52,85,113,79,221,111,25,114
yhdO_RBAM_009770,NC_009725.1,956874,957473,+,600,472,585,541,548,584,745,1036,1176,638,254,749
yhdP_RBAM_009780,NC_009725.1,957519,958853,-,1335,755,1019,1406,1353,1739,2416,1652,2793,1938,401,2051
cueR_RBAM_009790,NC_009725.1,958915,959340,-,426,309,491,637,455,585,1044,524,1566,635,167,703
yhdR_RBAM_009800,NC_009725.1,959520,960704,+,1185,172,268,263,314,349,357,657,1104,361,187,444
RBAM_009810,NC_009725.1,960737,961981,+,1245,94,188,134,135,161,198,450,727,189,72,215
yhdT_RBAM_009820,NC_009725.1,962211,963599,+,1389,213,391,282,205,264,443,382,679,287,94,309
yhdU_RBAM_009830,NC_009725.1,963613,963972,-,360,14,28,19,32,20,36,42,69,18,3,37
yhdV_RBAM_009840,NC_009725.1,963969,964364,-,396,52,70,84,63,90,178,179,238,121,26,142
yhdW_RBAM_009850,NC_009725.1,964366,965082,-,717,108,173,154,136,172,338,353,543,222,49,279
yhdX_RBAM_009860,NC_009725.1,965252,965356,+,105,302,559,255,270,489,1015,1591,1884,1083,174,1439
yhdY_RBAM_009870,NC_009725.1,965519,966634,+,1116,178,204,106,157,178,299,269,492,217,32,234
npdA_RBAM_009880,NC_009725.1,966686,967429,+,744,125,201,174,138,181,297,303,488,207,72,240
yheN_RBAM_009890,NC_009725.1,967463,968311,-,849,958,1054,1542,649,760,1355,702,1309,918,435,866
dat_RBAM_009900,NC_009725.1,968568,969419,+,852,325,651,390,625,744,776,1355,1603,870,384,925
pksA_RBAM_009910,NC_009725.1,969461,970045,-,585,225,308,343,137,207,408,248,504,249,69,262
ymcC_RBAM_009920,NC_009725.1,970154,970705,+,552,1,9,5,5,8,10,19,32,14,1,11
nhaX_RBAM_009930,NC_009725.1,970744,971313,-,570,3360,5233,816,2941,3690,2144,6058,2877,4566,1888,5568
yheI_RBAM_009940,NC_009725.1,971666,973423,+,1758,290,520,258,138,181,225,395,490,206,55,181
yheH_RBAM_009950,NC_009725.1,973420,975441,+,2022,674,1179,674,498,576,512,1097,1018,644,364,610
yheG_RBAM_009960,NC_009725.1,975481,976101,-,621,30,61,41,33,41,55,74,105,46,7,51
yheF_RBAM_009970,NC_009725.1,976130,976255,-,126,0,1,0,0,0,0,0,0,0,0,0
sspB_RBAM_009980,NC_009725.1,976357,976563,-,207,4,5,2,1,2,6,3,4,3,11,5
yheE_RBAM_009990,NC_009725.1,976788,977003,-,216,469,441,274,614,695,775,1195,1123,783,342,1053
yheD_RBAM_010000,NC_009725.1,977086,978444,-,1359,10,49,20,33,28,36,60,54,39,22,49
yheC_RBAM_010010,NC_009725.1,978434,979525,-,1092,13,21,11,22,33,27,37,21,25,12,16
yheB_RBAM_010020,NC_009725.1,979763,980896,+,1134,147,293,201,173,191,287,281,417,222,81,213
yheA_RBAM_010030,NC_009725.1,980982,981332,+,351,1092,1585,1191,1092,1465,2032,2624,2451,2071,595,2169
yhaZ_RBAM_010040,NC_009725.1,981371,982444,-,1074,47,64,64,57,54,71,74,119,67,18,58
yhaY_RBAM_010050,NC_009725.1,982630,982851,-,222,4,0,1,1,1,7,24,102,6,2,9
yhaX_RBAM_010060,NC_009725.1,982894,983760,+,867,97,120,130,138,166,203,171,241,116,98,159
hemZ_RBAM_010070,NC_009725.1,983873,985375,+,1503,533,389,757,646,642,754,569,626,596,176,686
RBAM_010080,NC_009725.1,985468,986766,+,1299,1715,2184,457,1532,1794,1362,2383,1710,1899,583,2403
yhaU_RBAM_010090,NC_009725.1,986792,988006,-,1215,15,25,13,8,18,21,33,64,22,5,27
yhaT_RBAM_010100,NC_009725.1,988014,988511,-,498,17,32,26,16,24,43,32,59,26,17,25
yhaS_RBAM_010110,NC_009725.1,988539,988892,-,354,98,94,71,112,168,289,242,294,193,27,234
yhaR_RBAM_010120,NC_009725.1,989077,989844,+,768,510,755,298,765,908,975,1990,1949,1282,466,1416
yhaQ_RBAM_010130,NC_009725.1,990160,991056,+,897,252,432,456,130,163,313,239,474,229,90,186
yhaP_RBAM_010140,NC_009725.1,991049,992308,+,1260,318,638,389,184,286,438,459,607,292,77,250
yhaO_RBAM_010150,NC_009725.1,992419,993642,+,1224,97,194,80,85,143,179,280,355,159,40,158
yhaN_RBAM_010160,NC_009725.1,993639,996521,+,2883,471,729,548,500,653,701,1028,1017,744,423,852
yhaM_RBAM_010170,NC_009725.1,996595,997539,+,945,978,1563,1667,1181,1420,1872,1940,2127,1891,673,1995
yhaL_RBAM_010180,NC_009725.1,997654,997881,+,228,11,6,14,22,26,24,14,28,10,20,12
prsA_RBAM_010190,NC_009725.1,997920,998771,-,852,4919,5618,10989,7803,9563,9019,9024,8874,12635,5088,12255
RBAM_010200,NC_009725.1,999284,999502,-,219,372,250,397,334,408,775,673,1242,487,120,672
yhaK_RBAM_010210,NC_009725.1,999563,1000093,-,531,278,456,505,259,365,976,382,944,452,63,493
yhaI_RBAM_010220,NC_009725.1,1000304,1000645,+,342,777,1275,1118,509,713,1718,856,2173,742,242,913
hpr_RBAM_010230,NC_009725.1,1000642,1001253,-,612,2388,2357,2343,1451,1763,2619,2018,2914,2208,1319,2762
yhaH_RBAM_010240,NC_009725.1,1001434,1001790,-,357,2600,2362,3069,2530,3054,3898,3342,4937,2878,2052,3804
yhaG_RBAM_010250,NC_009725.1,1002157,1002675,-,519,89,227,164,64,116,380,220,542,175,14,192
serC_RBAM_010260,NC_009725.1,1002796,1003875,-,1080,199,380,244,221,317,294,325,402,311,250,389
hit_RBAM_010270,NC_009725.1,1004011,1004448,-,438,604,520,829,592,674,1418,723,1663,813,207,1024
ecsA_RBAM_010280,NC_009725.1,1004939,1005682,+,744,182,508,348,282,401,622,475,1008,404,203,445
ecsB_RBAM_010290,NC_009725.1,1005675,1006901,+,1227,137,383,278,210,306,404,477,786,256,93,264
ecsC_RBAM_010300,NC_009725.1,1006944,1007648,+,705,406,869,718,530,625,881,1091,1341,672,412,716
yhaA_RBAM_010310,NC_009725.1,1007671,1008858,-,1188,161,335,190,319,326,417,645,698,360,127,488
yhfA_RBAM_010320,NC_009725.1,1008928,1010313,-,1386,7,18,9,8,8,10,21,16,7,1,5
yhgC_RBAM_010330,NC_009725.1,1010431,1010931,-,501,365,418,346,377,435,552,794,741,614,142,684
pbpF_RBAM_010340,NC_009725.1,1011054,1013195,+,2142,59,89,84,48,52,85,62,132,58,50,67
hemE_RBAM_010350,NC_009725.1,1013319,1014380,+,1062,719,1034,1114,847,1140,988,1163,1538,1032,594,1112
hemH_RBAM_010360,NC_009725.1,1014456,1015391,+,936,3634,5038,4063,4010,4656,4772,5774,5064,5269,2172,5339
hemY_RBAM_010370,NC_009725.1,1015419,1016852,+,1434,997,1507,1087,956,1117,1412,2288,2146,1552,300,1530
yhgD_RBAM_010380,NC_009725.1,1017001,1017573,+,573,76,80,130,58,74,105,107,114,130,15,151
yhgE_RBAM_010390,NC_009725.1,1017648,1019981,+,2334,116,137,143,99,105,101,173,150,100,116,132
fabHB_RBAM_010400,NC_009725.1,1020043,1021020,-,978,208,250,46,155,136,95,384,175,239,44,249
yhfE_RBAM_010410,NC_009725.1,1021502,1022542,+,1041,212,309,224,203,284,276,460,551,271,119,290
gltT_RBAM_010420,NC_009725.1,1022583,1023872,-,1290,948,1890,1339,2445,2801,3601,4518,4287,2530,1129,3426
yhfH_RBAM_010430,NC_009725.1,1024107,1024247,-,141,311,345,124,200,305,363,559,588,408,106,599
yhfI_RBAM_010440,NC_009725.1,1024399,1025133,+,735,18,40,24,11,13,31,32,75,27,6,22
yhfJ_RBAM_010450,NC_009725.1,1025146,1026141,+,996,100,139,119,87,95,123,92,180,76,48,100
yhfK_RBAM_010460,NC_009725.1,1026219,1026866,+,648,82,172,108,102,137,171,289,343,169,64,171
yhfL_RBAM_010470,NC_009725.1,1026999,1028540,+,1542,466,699,363,723,850,859,1772,1840,951,438,944
yhfM_RBAM_010480,NC_009725.1,1028588,1028983,-,396,117,78,56,160,170,200,188,128,213,75,311
yhfN_RBAM_010490,NC_009725.1,1029138,1030388,+,1251,90,182,114,89,115,170,268,380,141,100,110
aprE_RBAM_010500,NC_009725.1,1030434,1031582,-,1149,1454,2712,1550,5059,6387,5658,9105,8176,7008,2358,7664
yhfQ_RBAM_010510,NC_009725.1,1032072,1032950,+,879,75,123,80,116,139,144,196,247,137,52,169
yhfR_RBAM_010520,NC_009725.1,1032966,1033541,-,576,502,645,902,516,637,1428,1033,1563,977,227,1143
yhfS_RBAM_010530,NC_009725.1,1033592,1034683,-,1092,26,62,21,21,25,46,79,107,47,17,50
yhfT_RBAM_010540,NC_009725.1,1034671,1036107,-,1437,79,83,71,45,58,89,69,162,57,37,69
yhfU_RBAM_010550,NC_009725.1,1036119,1036676,-,558,66,57,42,39,45,64,55,100,36,30,52
hemAT_RBAM_010560,NC_009725.1,1036807,1038099,-,1293,4089,3614,1915,542,679,848,1028,1316,1170,291,1107
yhfW_RBAM_010570,NC_009725.1,1038222,1039745,-,1524,4,4,0,9,16,5,3,5,7,6,7
yhxC_RBAM_010580,NC_009725.1,1039870,1040727,+,858,0,4,0,3,2,2,2,5,2,2,2
yhzC_RBAM_010590,NC_009725.1,1040758,1040991,-,234,312,241,102,350,413,477,710,710,534,106,735
comK_RBAM_010600,NC_009725.1,1041306,1041884,+,579,62,76,122,45,109,131,95,164,96,21,73
